DT,Lufttemperatur,Vindstyrke,Solskinstid,Volum
2017-05-15 04:00:00,9.4,2.3666666666666667,0.0,1
2017-05-15 05:00:00,9.366666666666667,2.3000000000000003,0.0,10
2017-05-15 06:00:00,9.35,2.8833333333333333,0.0,76
2017-05-15 07:00:00,9.116666666666667,3.966666666666667,0.0,244
2017-05-15 08:00:00,9.483333333333333,3.5833333333333335,0.0,303
2017-05-15 09:00:00,10.466666666666667,3.3833333333333333,16.3,117
2017-05-15 10:00:00,12.0,4.66,46.3,50
2017-05-15 12:00:00,13.516666666666666,5.416666666666667,60.0,67
2017-05-15 13:00:00,14.666666666666666,5.6499999999999995,60.0,54
2017-05-15 14:00:00,14.716666666666667,5.866666666666666,52.6,86
2017-05-15 15:00:00,14.716666666666667,5.3500000000000005,60.0,305
2017-05-15 17:00:00,14.883333333333333,3.8166666666666664,19.6,193
2017-05-15 18:00:00,15.25,4.966666666666667,0.7,111
2017-05-15 19:00:00,14.799999999999999,4.133333333333334,0.0,86
2017-05-15 20:00:00,14.466666666666667,3.85,0.0,75
2017-05-15 21:00:00,12.65,3.783333333333333,0.0,75
2017-05-15 22:00:00,11.450000000000001,2.966666666666667,0.0,40
2017-05-16 00:00:00,11.700000000000001,3.3666666666666667,0.0,6
2017-05-16 01:00:00,12.466666666666667,4.716666666666667,0.0,1
2017-05-16 02:00:00,12.74,7.44,0.0,2
2017-05-16 03:00:00,12.98,6.0,0.0,3
2017-05-16 04:00:00,13.15,6.316666666666666,0.0,1
2017-05-16 06:00:00,13.766666666666666,7.1499999999999995,0.0,69
2017-05-16 08:00:00,13.040000000000001,6.2,0.0,282
2017-05-16 10:00:00,13.483333333333334,7.3999999999999995,0.0,48
2017-05-16 11:00:00,14.033333333333333,7.8500000000000005,0.0,36
2017-05-16 12:00:00,13.5,7.366666666666667,0.0,43
2017-05-16 13:00:00,13.066666666666668,7.133333333333333,0.0,44
2017-05-16 14:00:00,12.9,6.866666666666667,0.0,80
2017-05-16 15:00:00,12.633333333333333,6.033333333333334,0.0,239
2017-05-16 16:00:00,12.639999999999999,6.0600000000000005,0.0,256
2017-05-16 18:00:00,12.666666666666666,4.816666666666666,0.0,65
2017-05-16 21:00:00,12.533333333333333,5.983333333333333,0.0,23
2017-05-16 22:00:00,11.950000000000001,6.066666666666666,0.0,11
2017-05-16 23:00:00,10.950000000000001,5.05,0.0,6
2017-05-17 00:00:00,10.366666666666667,2.966666666666667,0.0,1
2017-05-17 01:00:00,10.183333333333332,1.6333333333333335,0.0,2
2017-05-17 02:00:00,10.02,2.02,0.0,4
2017-05-17 03:00:00,9.7,1.24,0.0,1
2017-05-17 04:00:00,9.58,0.54,0.0,2
2017-05-17 05:00:00,9.633333333333333,0.5833333333333334,0.0,0
2017-05-17 07:00:00,11.316666666666668,2.6166666666666667,0.0,21
2017-05-17 08:00:00,13.433333333333332,1.8833333333333335,0.0,22
2017-05-17 09:00:00,14.48,1.34,0.0,21
2017-05-17 10:00:00,16.083333333333332,1.2666666666666666,0.0,26
2017-05-17 11:00:00,16.216666666666665,2.35,0.0,35
2017-05-17 14:00:00,17.416666666666668,2.8666666666666667,0.0,33
2017-05-17 15:00:00,17.216666666666665,2.716666666666667,0.0,38
2017-05-17 17:00:00,13.966666666666667,2.15,0.0,22
2017-05-17 18:00:00,13.483333333333334,1.25,0.0,30
2017-05-17 19:00:00,13.16,2.46,0.0,30
2017-05-17 20:00:00,12.299999999999999,1.5666666666666667,0.0,26
2017-05-17 22:00:00,11.616666666666667,1.0166666666666668,0.0,25
2017-05-17 23:00:00,11.516666666666666,0.9500000000000001,0.0,17
2017-05-18 00:00:00,11.6,1.8166666666666667,0.0,9
2017-05-18 01:00:00,11.4,2.1666666666666665,0.0,1
2017-05-18 02:00:00,11.200000000000001,1.0833333333333333,0.0,3
2017-05-18 03:00:00,11.149999999999999,1.4166666666666667,0.0,2
2017-05-18 04:00:00,10.966666666666667,1.4333333333333333,0.0,0
2017-05-18 05:00:00,10.866666666666667,1.2333333333333334,0.0,7
2017-05-18 06:00:00,10.866666666666667,1.1166666666666667,0.0,55
2017-05-18 07:00:00,10.883333333333333,1.2333333333333334,0.0,190
2017-05-18 08:00:00,10.950000000000001,1.3,0.0,242
2017-05-18 09:00:00,11.15,1.7166666666666668,0.0,91
2017-05-18 10:00:00,11.299999999999999,1.5666666666666667,0.0,37
2017-05-18 13:00:00,11.65,2.0500000000000003,0.0,32
2017-05-18 14:00:00,11.549999999999999,2.9166666666666665,0.0,77
2017-05-18 15:00:00,12.083333333333334,3.0833333333333335,1.0,222
2017-05-18 16:00:00,12.049999999999999,2.65,9.7,233
2017-05-18 17:00:00,12.35,2.9333333333333336,24.400000000000002,128
2017-05-18 19:00:00,10.049999999999999,2.5500000000000003,0.0,46
2017-05-18 20:00:00,9.416666666666666,2.0500000000000003,0.0,48
2017-05-18 21:00:00,9.450000000000001,1.9333333333333333,0.0,49
2017-05-18 22:00:00,9.416666666666666,1.4500000000000002,0.0,26
2017-05-18 23:00:00,9.433333333333334,0.85,0.0,12
2017-05-19 00:00:00,9.440000000000001,1.16,0.0,2
2017-05-19 01:00:00,9.333333333333334,1.0166666666666666,0.0,1
2017-05-19 02:00:00,9.25,0.9,0.0,4
2017-05-19 04:00:00,9.700000000000001,1.7,0.0,0
2017-05-19 05:00:00,9.733333333333333,2.466666666666667,4.3,13
2017-05-19 06:00:00,10.866666666666667,1.9000000000000001,48.4,90
2017-05-19 07:00:00,11.483333333333334,2.283333333333333,51.4,256
2017-05-19 08:00:00,12.533333333333333,2.9333333333333336,60.0,325
2017-05-19 10:00:00,15.049999999999999,3.1833333333333336,56.7,69
2017-05-19 12:00:00,16.55,2.9166666666666665,60.0,59
2017-05-19 13:00:00,16.95,3.3000000000000003,59.7,71
2017-05-19 14:00:00,17.166666666666668,3.4499999999999997,59.3,144
2017-05-19 15:00:00,17.616666666666667,3.1,60.0,340
2017-05-19 17:00:00,17.55,2.433333333333333,23.9,153
2017-05-19 18:00:00,17.400000000000002,1.9833333333333334,27.3,103
2017-05-19 19:00:00,17.26,1.64,25.0,81
2017-05-19 21:00:00,16.583333333333332,1.5666666666666667,0.0,36
2017-05-19 22:00:00,15.916666666666666,0.6,0.0,29
2017-05-20 00:00:00,14.533333333333333,0.75,0.0,9
2017-05-20 01:00:00,14.48,1.0,0.0,11
2017-05-20 02:00:00,14.766666666666666,1.3166666666666667,0.0,6
2017-05-20 03:00:00,14.183333333333332,1.3499999999999999,0.0,8
2017-05-20 04:00:00,13.883333333333333,1.1,0.0,4
2017-05-20 07:00:00,19.4,0.74,49.7,19
2017-05-20 08:00:00,20.166666666666668,0.9333333333333332,28.7,29
2017-05-20 09:00:00,20.633333333333333,1.55,19.1,46
2017-05-20 11:00:00,20.683333333333334,1.1333333333333333,0.3,73
2017-05-20 12:00:00,17.240000000000002,4.4,0.0,94
2017-05-20 13:00:00,12.166666666666666,6.916666666666667,0.0,56
2017-05-20 14:00:00,11.5,4.433333333333334,0.0,79
2017-05-20 15:00:00,11.5,5.3,0.0,63
2017-05-20 17:00:00,10.299999999999999,4.433333333333334,0.0,35
2017-05-20 18:00:00,10.14,5.6,0.0,28
2017-05-20 19:00:00,10.28,4.92,0.0,25
2017-05-20 20:00:00,10.2,3.6999999999999997,0.0,19
2017-05-20 21:00:00,10.25,2.5,0.0,23
2017-05-20 22:00:00,10.116666666666665,1.6500000000000001,0.0,11
2017-05-20 23:00:00,10.183333333333332,1.9666666666666668,0.0,15
2017-05-21 00:00:00,10.133333333333333,2.1,0.0,8
2017-05-21 01:00:00,9.683333333333334,1.8333333333333333,0.0,8
2017-05-21 03:00:00,8.24,1.24,0.0,3
2017-05-21 04:00:00,8.183333333333334,0.9666666666666667,26.0,4
2017-05-21 05:00:00,10.379999999999999,0.42000000000000004,49.7,2
2017-05-21 06:00:00,11.583333333333334,0.7333333333333334,60.0,10
2017-05-21 08:00:00,13.040000000000001,3.16,40.3,23
2017-05-21 09:00:00,13.433333333333332,3.75,48.0,31
2017-05-21 11:00:00,12.383333333333333,3.3000000000000003,7.3,77
2017-05-21 12:00:00,11.566666666666668,3.3833333333333333,0.3,74
2017-05-21 13:00:00,10.3,3.9200000000000004,0.0,71
2017-05-21 14:00:00,10.266666666666667,5.366666666666667,0.0,77
2017-05-21 15:00:00,10.583333333333334,4.5,0.0,48
2017-05-21 16:00:00,10.083333333333334,5.283333333333333,0.0,45
2017-05-21 17:00:00,10.083333333333334,4.866666666666666,0.0,36
2017-05-21 18:00:00,10.216666666666667,3.3166666666666664,0.0,41
2017-05-21 19:00:00,9.833333333333334,3.35,0.0,30
2017-05-21 21:00:00,9.683333333333334,3.816666666666667,0.0,25
2017-05-21 22:00:00,9.6,3.65,0.0,18
2017-05-21 23:00:00,9.416666666666666,4.816666666666666,0.0,9
2017-05-22 00:00:00,9.45,4.475,0.0,3
2017-05-22 01:00:00,9.42,4.159999999999999,0.0,6
